review_id,priority,issue_type,path,item,why_not_auto_fixed,human_needed,recommended_default,allowed_human_decisions,agent_default_decision,required_decision_detail,downstream_action_after_decision,human_decision,human_decision_detail,source_fix_path_or_evidence,reviewer,review_date,final_status
HR-001,P1,source_unavailable_all_null,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,"ctx24_industry_hhi (datasets=D04,D08_v2; missing_n_sum=10256)",원천 변수 자체가 관련 산출물에서 전부 비어 있어 행 삭제로 해결되지 않는다.,"해당 변수를 재수집/재생성할지, 분석 범위에서 영구 제외할지 결정",exclude_from_features_until_source_exists,exclude_from_features|rebuild_source|defer,exclude_from_features,"rebuild_source 선택 시 실제 원천 파일 경로, 생성식, 기대 non-null 기준을 적는다.","feature registry에서 해당 변수를 제외하거나, 원천 재생성 뒤 D08/registry를 재빌드한다.",exclude_from_features,D04/D08_v2 registry에서 해당 변수가 전부 all-null이고 strict feature registry에서도 strict_global_p4_use=False로 차단되어 있으므로 이번 모델링 feature에서 제외한다.,02_EVIDENCE/strict_model_feature_registry.csv,Codex DS manual review,2026-07-13,approved
HR-002,P1,source_unavailable_all_null,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,"ctx24_industry_top3_pct (datasets=D04,D08_v2; missing_n_sum=10256)",원천 변수 자체가 관련 산출물에서 전부 비어 있어 행 삭제로 해결되지 않는다.,"해당 변수를 재수집/재생성할지, 분석 범위에서 영구 제외할지 결정",exclude_from_features_until_source_exists,exclude_from_features|rebuild_source|defer,exclude_from_features,"rebuild_source 선택 시 실제 원천 파일 경로, 생성식, 기대 non-null 기준을 적는다.","feature registry에서 해당 변수를 제외하거나, 원천 재생성 뒤 D08/registry를 재빌드한다.",exclude_from_features,D04/D08_v2 registry에서 해당 변수가 전부 all-null이고 strict feature registry에서도 strict_global_p4_use=False로 차단되어 있으므로 이번 모델링 feature에서 제외한다.,02_EVIDENCE/strict_model_feature_registry.csv,Codex DS manual review,2026-07-13,approved
HR-003,P1,missing_panel_source,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_panel_2023_2025.parquet,mart_department_panel_2023_2025,2023-2025 panel/transition parquet 자체가 존재하지 않는다.,"패널 트랙을 만들지, 이번 P4에서 제외할지 결정",keep_panel_track_blocked,keep_panel_blocked|build_panel_sources|drop_panel_track,keep_panel_blocked,"build_panel_sources 선택 시 panel parquet 생성 책임자, 파일 경로, key grain을 적는다.",panel/transition 모델링 트랙을 막거나 panel parquet 생성 후 readiness를 재실행한다.,drop_panel_track,지정된 2023-2025 panel/transition parquet 파일이 실제 경로에 없으므로 이번 P4 범위에서는 panel/transition 트랙을 제외하고 2024 단년도 strict-clean 입력만 사용한다.,02_EVIDENCE/strict_target_sample_counts.csv,Codex DS manual review,2026-07-13,approved
HR-004,P1,missing_panel_source,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_A_rate_transition_2023_2025.parquet,mart_A_rate_transition_2023_2025,2023-2025 panel/transition parquet 자체가 존재하지 않는다.,"패널 트랙을 만들지, 이번 P4에서 제외할지 결정",keep_panel_track_blocked,keep_panel_blocked|build_panel_sources|drop_panel_track,keep_panel_blocked,"build_panel_sources 선택 시 panel parquet 생성 책임자, 파일 경로, key grain을 적는다.",panel/transition 모델링 트랙을 막거나 panel parquet 생성 후 readiness를 재실행한다.,drop_panel_track,지정된 2023-2025 panel/transition parquet 파일이 실제 경로에 없으므로 이번 P4 범위에서는 panel/transition 트랙을 제외하고 2024 단년도 strict-clean 입력만 사용한다.,02_EVIDENCE/strict_target_sample_counts.csv,Codex DS manual review,2026-07-13,approved
HR-005,P2,bridge_design_required,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,D05 job_cert columns,직무분류 기반 데이터라 학과행에 직접 조인하면 축이 맞지 않는다.,직무분류->계열/학과 브리지 키와 집계 수준 설계,do_not_join_D05_directly,keep_D05_excluded|design_bridge_and_aggregate|drop_D05_scope,keep_D05_excluded,"design_bridge 선택 시 직무분류->계열/학과 매핑키, 집계 수준, 중복 처리 규칙을 적는다.",D05를 직접 조인하지 않고 bridge 설계가 승인된 뒤에만 feature로 편입한다.,drop_D05_scope,D05 job_cert 32개 컬럼은 직무분류 축 데이터이고 학과행 직접 조인이 금지된 상태다. 승인된 bridge key/집계 규칙이 없으므로 이번 P4 범위에서 D05를 제외한다.,02_EVIDENCE/strict_model_feature_registry.csv,Codex DS manual review,2026-07-13,approved
HR-006,P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,domestic_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis,exclude_2023_target|provide_2023_source|drop_2023_extension,exclude_2023_target,"provide_2023_source 선택 시 해당 타깃 컬럼을 채울 원천 파일과 산식, 결측 허용 기준을 적는다.",2023 확장 분석에서 해당 타깃을 제외하거나 원천 보강 후 2023 샘플을 재생성한다.,exclude_2023_target,dept_outcomes_2023_sample.csv 11287행에서 해당 타깃 컬럼의 non-null 값이 0건이다. 원천 보강 증빙이 없으므로 2023 확장 분석에서 이 타깃 컬럼을 제외한다.,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Codex DS manual review,2026-07-13,approved
HR-007,P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,graduate_school_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis,exclude_2023_target|provide_2023_source|drop_2023_extension,exclude_2023_target,"provide_2023_source 선택 시 해당 타깃 컬럼을 채울 원천 파일과 산식, 결측 허용 기준을 적는다.",2023 확장 분석에서 해당 타깃을 제외하거나 원천 보강 후 2023 샘플을 재생성한다.,exclude_2023_target,dept_outcomes_2023_sample.csv 11287행에서 해당 타깃 컬럼의 non-null 값이 0건이다. 원천 보강 증빙이 없으므로 2023 확장 분석에서 이 타깃 컬럼을 제외한다.,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Codex DS manual review,2026-07-13,approved
HR-008,P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,health_employment_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis,exclude_2023_target|provide_2023_source|drop_2023_extension,exclude_2023_target,"provide_2023_source 선택 시 해당 타깃 컬럼을 채울 원천 파일과 산식, 결측 허용 기준을 적는다.",2023 확장 분석에서 해당 타깃을 제외하거나 원천 보강 후 2023 샘플을 재생성한다.,exclude_2023_target,dept_outcomes_2023_sample.csv 11287행에서 해당 타깃 컬럼의 non-null 값이 0건이다. 원천 보강 증빙이 없으므로 2023 확장 분석에서 이 타깃 컬럼을 제외한다.,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Codex DS manual review,2026-07-13,approved
HR-009,P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,overseas_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis,exclude_2023_target|provide_2023_source|drop_2023_extension,exclude_2023_target,"provide_2023_source 선택 시 해당 타깃 컬럼을 채울 원천 파일과 산식, 결측 허용 기준을 적는다.",2023 확장 분석에서 해당 타깃을 제외하거나 원천 보강 후 2023 샘플을 재생성한다.,exclude_2023_target,dept_outcomes_2023_sample.csv 11287행에서 해당 타깃 컬럼의 non-null 값이 0건이다. 원천 보강 증빙이 없으므로 2023 확장 분석에서 이 타깃 컬럼을 제외한다.,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Codex DS manual review,2026-07-13,approved
HR-010,P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis,exclude_2023_target|provide_2023_source|drop_2023_extension,exclude_2023_target,"provide_2023_source 선택 시 해당 타깃 컬럼을 채울 원천 파일과 산식, 결측 허용 기준을 적는다.",2023 확장 분석에서 해당 타깃을 제외하거나 원천 보강 후 2023 샘플을 재생성한다.,exclude_2023_target,dept_outcomes_2023_sample.csv 11287행에서 해당 타깃 컬럼의 non-null 값이 0건이다. 원천 보강 증빙이 없으므로 2023 확장 분석에서 이 타깃 컬럼을 제외한다.,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Codex DS manual review,2026-07-13,approved
